barcode	cluster_id	read_id
*	19192	26181
*	19192	26181
*	11759	26191
*	16446	26191
*	16446	26191
*	11759	26191
*	16446	26191
*	20283	26197
*	20283	26197
*	20283	26197
*	18579	26213
*	18579	26213
*	18579	26213
*	10772	26273
*	19114	26302
*	19114	26302
*	19114	26302
*	5625	26341
*	19765	26379
*	19765	26379
*	19765	26379
*	5949	26397
*	19611	26417
*	19611	26417
*	19611	26417
*	16840	26444
*	16840	26444
*	16840	26444
*	15505	26446
*	15505	26446
*	15505	26446
*	18840	26452
*	18840	26452
*	18840	26452
*	20647	26462
*	20647	26462
*	20647	26462
*	17141	26467
*	17141	26467
*	17141	26467
*	13967	26468
*	7880	26520
*	7880	26520
*	7880	26520
*	14539	26530
*	15807	26530
*	16347	26552
*	18948	26554
*	18948	26554
*	18948	26554
*	13527	266
*	13527	266
*	15563	26633
*	15563	26633
*	15563	26633
*	18345	26634
*	18345	26634
*	18345	26634
*	18405	26664
*	17729	26664
*	18405	26664
*	17729	26664
*	18405	26664
*	17729	26664
*	18560	267
*	18560	267
*	18560	267
*	19191	26756
*	19191	26756
*	19191	26756
*	1406	26764
*	1406	26764
*	1406	26764
*	4203	268
*	4203	268
*	4203	268
*	18927	26853
*	18927	26853
*	18927	26853
*	13904	26855
*	13904	26855
*	13904	26855
*	352	26857
*	352	26857
*	352	26857
*	17870	26867
*	17870	26867
*	17870	26867
*	3991	26875
*	3991	26875
*	16546	26877
*	16546	26877
*	16546	26877
*	20086	26885
*	20086	26885
*	20086	26885
*	11894	26891
*	11894	26891
*	16216	26893
*	16216	26893
*	16216	26893
*	19862	26901
*	19862	26901
*	19862	26901
*	1515	26959
*	18858	26985
*	18858	26985
*	18858	26985
*	6087	27067
*	16915	27071
*	16915	27071
*	16915	27071
*	9554	27073
*	9554	27073
*	9554	27073
*	11698	27083
*	5679	27097
*	5679	27097
*	19951	27111
*	19951	27111
*	19951	27111
*	16405	27171
*	529	27192
*	529	27192
*	529	27192
*	3508	27258
*	15783	27278
*	1126	27283
*	1126	27283
*	1126	27283
*	18706	27284
*	18706	27284
*	18706	27284
*	16163	27321
*	20368	27323
*	20368	27323
*	20368	27323
*	18855	27325
*	18855	27325
*	18855	27325
*	19969	27327
*	19969	27327
*	19969	27327
*	6568	27339
*	14968	27358
*	14968	27358
*	14968	27358
*	5588	27409
